Frequency (Hz)	Level (dB)
5.383301	-42.479721
10.766602	-37.752705
16.149902	-35.661427
21.533203	-34.426628
26.916504	-33.541813
32.299805	-33.071095
37.683105	-32.541336
43.066406	-32.065868
48.449707	-31.825382
53.833008	-31.699776
59.216309	-31.360739
64.599609	-31.345198
69.982910	-31.495241
75.366211	-31.660320
80.749512	-31.833826
86.132812	-32.140106
91.516113	-32.569290
96.899414	-32.553493
102.282715	-32.461483
107.666016	-33.118484
113.049316	-33.392963
118.432617	-33.515865
123.815918	-33.693581
129.199219	-33.775909
134.582520	-34.161251
139.965820	-34.713932
145.349121	-35.530640
150.732422	-36.268536
156.115723	-36.411743
161.499023	-36.748028
166.882324	-37.317455
172.265625	-37.811699
177.648926	-38.538250
183.032227	-39.426350
188.415527	-40.502472
193.798828	-41.241085
199.182129	-42.153698
204.565430	-43.531303
209.948730	-44.601204
215.332031	-45.314610
220.715332	-46.248112
226.098633	-48.721058
231.481934	-53.501656
236.865234	-64.782166
242.248535	-56.147194
247.631836	-49.762215
253.015137	-46.970451
258.398438	-45.479286
263.781738	-44.428997
269.165039	-44.077065
274.548340	-43.478401
279.931641	-43.156250
285.314941	-42.787209
290.698242	-42.713570
296.081543	-42.823189
301.464844	-42.711533
306.848145	-42.958294
312.231445	-42.950546
317.614746	-42.707809
322.998047	-42.695004
328.381348	-42.503048
333.764648	-42.804764
339.147949	-43.734753
344.531250	-44.353054
349.914551	-46.122578
355.297852	-48.371937
360.681152	-52.206112
366.064453	-52.724209
371.447754	-49.418190
376.831055	-48.286228
382.214355	-45.551281
387.597656	-44.238247
392.980957	-44.345867
398.364258	-44.917900
403.747559	-46.504467
409.130859	-46.893559
414.514160	-47.141392
419.897461	-48.107971
425.280762	-47.285278
430.664062	-46.004959
436.047363	-44.004208
441.430664	-42.682034
446.813965	-43.366150
452.197266	-44.117592
457.580566	-44.689598
462.963867	-45.990856
468.347168	-46.310795
473.730469	-46.845448
479.113770	-46.808071
484.497070	-45.779915
489.880371	-46.208321
495.263672	-44.534000
500.646973	-43.068939
506.030273	-42.596916
511.413574	-42.916122
516.796875	-44.284489
522.180176	-44.027622
527.563477	-42.319035
532.946777	-41.903603
538.330078	-42.025330
543.713379	-42.158623
549.096680	-41.899540
554.479980	-41.094318
559.863281	-40.965240
565.246582	-41.065689
570.629883	-41.153198
576.013184	-41.752960
581.396484	-41.417789
586.779785	-41.132557
592.163086	-41.835770
597.546387	-42.963558
602.929688	-44.476364
608.312988	-44.864006
613.696289	-44.347240
619.079590	-45.174229
