Frequency (Hz)	Level (dB)
5.383301	-22.395622
10.766602	-19.737606
16.149902	-19.791000
21.533203	-20.477123
26.916504	-21.161997
32.299805	-23.020130
37.683105	-26.218441
43.066406	-29.348385
48.449707	-26.057999
53.833008	-23.641489
59.216309	-24.213564
64.599609	-24.335371
69.982910	-23.949474
75.366211	-23.864054
80.749512	-23.811371
86.132812	-23.822311
91.516113	-23.659592
96.899414	-23.772236
102.282715	-23.253710
107.666016	-23.053303
113.049316	-22.628571
118.432617	-22.186089
123.815918	-22.261246
129.199219	-22.302782
134.582520	-22.291256
139.965820	-22.423592
145.349121	-22.871136
150.732422	-23.044773
156.115723	-23.291965
161.499023	-23.656113
166.882324	-23.942545
172.265625	-24.166071
177.648926	-24.221128
183.032227	-24.436045
188.415527	-25.352053
193.798828	-26.644638
199.182129	-27.134396
204.565430	-27.516636
209.948730	-29.093716
215.332031	-30.250090
220.715332	-31.023224
226.098633	-32.223068
231.481934	-33.975483
236.865234	-35.587963
242.248535	-37.892075
247.631836	-45.156994
253.015137	-56.274109
258.398438	-74.997269
263.781738	-49.014133
269.165039	-43.779854
274.548340	-41.280113
279.931641	-39.833263
285.314941	-39.886322
290.698242	-38.464294
296.081543	-38.197529
301.464844	-39.341805
306.848145	-38.864788
312.231445	-38.242046
317.614746	-38.254807
322.998047	-36.825954
328.381348	-35.996445
333.764648	-34.709614
339.147949	-32.907913
344.531250	-31.760311
349.914551	-31.797621
355.297852	-31.555586
360.681152	-31.010578
366.064453	-32.153587
371.447754	-31.649433
376.831055	-30.542871
382.214355	-29.953753
387.597656	-30.072645
392.980957	-30.499554
398.364258	-28.976728
403.747559	-29.364006
409.130859	-30.747427
414.514160	-30.111698
419.897461	-28.159811
425.280762	-28.950087
430.664062	-35.115196
436.047363	-30.728718
441.430664	-30.330336
446.813965	-34.790573
452.197266	-33.226364
457.580566	-29.598890
462.963867	-32.330795
468.347168	-40.990097
473.730469	-33.331688
479.113770	-32.231773
484.497070	-36.428577
489.880371	-38.647449
495.263672	-34.442528
500.646973	-36.374447
506.030273	-40.847622
511.413574	-47.241531
516.796875	-43.665272
522.180176	-46.152859
527.563477	-60.269138
532.946777	-51.268051
538.330078	-44.604675
543.713379	-43.392971
549.096680	-45.415462
554.479980	-45.402969
559.863281	-47.876286
565.246582	-48.114964
570.629883	-44.569946
576.013184	-44.698586
581.396484	-48.211674
586.779785	-44.425217
592.163086	-45.677376
597.546387	-55.814301
602.929688	-47.648773
608.312988	-42.345463
613.696289	-41.630558
619.079590	-43.074642
624.462891	-46.049194
629.846191	-40.855816
635.229492	-40.538960
640.612793	-52.110264
645.996094	-41.981915
651.379395	-40.908699
656.762695	-40.905045
662.145996	-43.775330
667.529297	-45.106724
672.912598	-44.469227
678.295898	-52.951939
683.679199	-50.127235
689.062500	-47.238831
694.445801	-50.897324
699.829102	-44.055508
705.212402	-47.816807
710.595703	-40.431087
715.979004	-39.049419
721.362305	-44.394081
726.745605	-43.476597
732.128906	-41.942509
737.512207	-46.514801
742.895508	-47.293217
748.278809	-42.232918
753.662109	-42.049271
759.045410	-49.993423
764.428711	-45.024349
769.812012	-51.167076
775.195312	-51.425743
780.578613	-50.816811
785.961914	-42.460155
791.345215	-42.219051
796.728516	-35.567757
802.111816	-33.634773
807.495117	-31.762613
812.878418	-33.094788
818.261719	-32.799908
823.645020	-30.034151
829.028320	-28.619566
834.411621	-29.952274
839.794922	-35.706196
845.178223	-34.865532
850.561523	-29.925402
855.944824	-34.148201
861.328125	-26.871256
866.711426	-22.560888
872.094727	-24.870569
877.478027	-26.908766
882.861328	-28.908579
888.244629	-29.644533
893.627930	-29.635252
899.011230	-32.277195
904.394531	-35.144711
909.777832	-32.311829
915.161133	-33.217384
920.544434	-38.679317
925.927734	-43.017239
931.311035	-38.144699
936.694336	-38.097645
942.077637	-47.617924
947.460938	-43.694878
952.844238	-42.526726
958.227539	-49.963505
963.610840	-46.604683
968.994141	-40.943230
974.377441	-42.850780
979.760742	-43.313942
985.144043	-38.828117
990.527344	-39.426861
995.910645	-37.071011
1001.293945	-36.737751
1006.677246	-38.607277
1012.060547	-39.870930
1017.443848	-39.190308
1022.827148	-36.368843
1028.210449	-35.688828
1033.593750	-37.913082
1038.977051	-33.012688
1044.360352	-28.236198
1049.743652	-25.138962
1055.126953	-23.806313
1060.510254	-24.824987
1065.893555	-27.278444
1071.276855	-27.532064
1076.660156	-25.788765
1082.043457	-23.777020
1087.426758	-23.261206
1092.810059	-24.785629
1098.193359	-27.156294
1103.576660	-28.775412
1108.959961	-30.100414
1114.343262	-32.428120
1119.726562	-35.194675
1125.109863	-36.669933
1130.493164	-36.112240
1135.876465	-35.894588
1141.259766	-37.035526
1146.643066	-36.933186
1152.026367	-36.304031
1157.409668	-36.752445
1162.792969	-38.058514
1168.176270	-40.635216
1173.559570	-43.475754
1178.942871	-45.159172
1184.326172	-44.460972
1189.709473	-43.770676
1195.092773	-44.993172
1200.476074	-45.772934
1205.859375	-43.721256
1211.242676	-44.194721
1216.625977	-45.241680
1222.009277	-45.623463
1227.392578	-46.085548
1232.775879	-46.043430
1238.159180	-42.215820
1243.542480	-41.885422
1248.925781	-42.570370
1254.309082	-38.805450
1259.692383	-37.034225
1265.075684	-36.954155
1270.458984	-35.623505
1275.842285	-34.801773
1281.225586	-38.453293
1286.608887	-38.134926
1291.992188	-34.944645
1297.375488	-34.179211
1302.758789	-38.924706
1308.142090	-42.942928
1313.525391	-44.996017
1318.908691	-47.146366
1324.291992	-46.094383
1329.675293	-49.019829
1335.058594	-57.383518
1340.441895	-58.226017
1345.825195	-51.790119
1351.208496	-56.715527
1356.591797	-49.521889
1361.975098	-49.587833
1367.358398	-46.324593
1372.741699	-45.650028
1378.125000	-44.063148
1383.508301	-41.793297
1388.891602	-41.119446
1394.274902	-43.920692
1399.658203	-45.808701
1405.041504	-40.769451
1410.424805	-39.179119
1415.808105	-39.408356
1421.191406	-40.235699
1426.574707	-40.879490
1431.958008	-41.237091
1437.341309	-38.990845
1442.724609	-41.443333
1448.107910	-42.554390
1453.491211	-43.331509
1458.874512	-42.692009
1464.257812	-44.208538
1469.641113	-39.988625
1475.024414	-38.312038
1480.407715	-40.257866
1485.791016	-48.700596
1491.174316	-42.492027
1496.557617	-39.885365
1501.940918	-38.566589
1507.324219	-36.713364
1512.707520	-33.505566
1518.090820	-32.424484
1523.474121	-33.854797
1528.857422	-31.740715
1534.240723	-28.996819
1539.624023	-30.804462
1545.007324	-28.390907
1550.390625	-25.622595
1555.773926	-27.804832
1561.157227	-29.004528
1566.540527	-32.098431
1571.923828	-30.919933
1577.307129	-30.623747
1582.690430	-30.860544
1588.073730	-31.400812
1593.457031	-33.782745
1598.840332	-36.579533
1604.223633	-43.174950
1609.606934	-43.479866
1614.990234	-38.293751
1620.373535	-35.839211
1625.756836	-37.506958
1631.140137	-37.562298
1636.523438	-36.134399
1641.906738	-37.299614
1647.290039	-39.459503
1652.673340	-39.972343
1658.056641	-40.047585
1663.439941	-39.040955
1668.823242	-40.257385
1674.206543	-41.151272
1679.589844	-40.781078
1684.973145	-43.726524
1690.356445	-45.830765
1695.739746	-40.836540
1701.123047	-40.656078
1706.506348	-48.910805
1711.889648	-44.059521
1717.272949	-43.802181
1722.656250	-42.549450
1728.039551	-41.803291
1733.422852	-40.269791
1738.806152	-37.498489
1744.189453	-37.868244
1749.572754	-41.617203
1754.956055	-40.535652
1760.339355	-39.831654
1765.722656	-41.989349
1771.105957	-38.682724
1776.489258	-38.677387
1781.872559	-39.773865
1787.255859	-42.052078
1792.639160	-41.481575
1798.022461	-40.545353
1803.405762	-43.791756
1808.789062	-42.716934
1814.172363	-41.611610
1819.555664	-41.574005
1824.938965	-50.004536
1830.322266	-42.295128
1835.705566	-42.421375
1841.088867	-42.902756
1846.472168	-42.470520
1851.855469	-42.769981
1857.238770	-42.973988
1862.622070	-42.764214
1868.005371	-46.132568
1873.388672	-48.982594
1878.771973	-44.873547
1884.155273	-45.341072
1889.538574	-48.243958
1894.921875	-48.227135
1900.305176	-48.472492
1905.688477	-50.753315
1911.071777	-51.099884
1916.455078	-51.651093
1921.838379	-49.596931
1927.221680	-55.603535
1932.604980	-59.941616
1937.988281	-54.986557
1943.371582	-51.210155
1948.754883	-56.782272
1954.138184	-51.049477
1959.521484	-52.024998
1964.904785	-57.279240
1970.288086	-53.157063
1975.671387	-53.035954
1981.054688	-53.299614
1986.437988	-51.609985
1991.821289	-48.163765
1997.204590	-48.220871
2002.587891	-47.410709
2007.971191	-46.462666
2013.354492	-44.296028
2018.737793	-44.164879
2024.121094	-44.721653
2029.504395	-48.628075
2034.887695	-48.200478
2040.270996	-46.831661
2045.654297	-47.653374
2051.037598	-56.464577
2056.420898	-53.281281
2061.804199	-46.030125
2067.187500	-43.055885
2072.570801	-42.194828
2077.954102	-41.820038
2083.337402	-41.309704
2088.720703	-41.703152
2094.104004	-41.415215
2099.487305	-40.344547
2104.870605	-39.236729
2110.253906	-38.912823
2115.637207	-37.457077
2121.020508	-35.707001
2126.403809	-35.073170
2131.787109	-33.906906
2137.170410	-33.141518
2142.553711	-35.095459
2147.937012	-40.325523
2153.320312	-44.355461
2158.703613	-47.212830
2164.086914	-49.589088
2169.470215	-39.209469
2174.853516	-37.428284
2180.236816	-36.697495
2185.620117	-38.123764
2191.003418	-32.725430
2196.386719	-27.058214
2201.770020	-23.567568
2207.153320	-21.932322
2212.536621	-25.122761
2217.919922	-31.616165
2223.303223	-34.746624
2228.686523	-37.211361
2234.069824	-42.096996
2239.453125	-43.394329
2244.836426	-45.106041
2250.219727	-47.811119
2255.603027	-45.813908
2260.986328	-45.519550
2266.369629	-50.476780
2271.752930	-61.486401
2277.136230	-57.602730
2282.519531	-52.988232
2287.902832	-54.805550
2293.286133	-56.777962
2298.669434	-49.799164
2304.052734	-48.063599
2309.436035	-52.691715
2314.819336	-52.367645
2320.202637	-52.213657
2325.585938	-62.173225
2330.969238	-66.958984
2336.352539	-50.743816
2341.735840	-45.609520
2347.119141	-47.837013
2352.502441	-53.836777
2357.885742	-48.640770
2363.269043	-47.781002
2368.652344	-52.444004
2374.035645	-56.522671
2379.418945	-49.289009
2384.802246	-47.507435
2390.185547	-50.558868
2395.568848	-54.034550
2400.952148	-49.541615
2406.335449	-50.080647
2411.718750	-53.746784
2417.102051	-59.257614
2422.485352	-49.798691
2427.868652	-50.412231
2433.251953	-56.115005
2438.635254	-49.198399
2444.018555	-49.626911
2449.401855	-52.573494
2454.785156	-54.011066
2460.168457	-50.719753
2465.551758	-48.139858
2470.935059	-51.241192
2476.318359	-61.347809
2481.701660	-57.641853
2487.084961	-56.655445
2492.468262	-59.812660
2497.851562	-58.123310
2503.234863	-51.062405
2508.618164	-55.300392
2514.001465	-58.487526
2519.384766	-51.783607
2524.768066	-51.316608
2530.151367	-55.710152
2535.534668	-54.585468
2540.917969	-51.174915
2546.301270	-53.693501
2551.684570	-61.105007
2557.067871	-55.959885
2562.451172	-56.060043
2567.834473	-55.346138
2573.217773	-55.456741
2578.601074	-56.140549
2583.984375	-50.582233
2589.367676	-53.798386
2594.750977	-63.173954
2600.134277	-57.634781
2605.517578	-58.579838
2610.900879	-55.547588
2616.284180	-55.880184
2621.667480	-59.240273
2627.050781	-60.237640
2632.434082	-55.050583
2637.817383	-51.704903
2643.200684	-48.303299
2648.583984	-47.310997
2653.967285	-45.673912
2659.350586	-44.914452
2664.733887	-46.762688
2670.117188	-45.411007
2675.500488	-44.210407
2680.883789	-42.150379
2686.267090	-41.614639
2691.650391	-38.972111
2697.033691	-37.102844
2702.416992	-36.547024
2707.800293	-38.598904
2713.183594	-41.975552
2718.566895	-46.367172
2723.950195	-57.992146
2729.333496	-65.361374
2734.716797	-57.356731
2740.100098	-46.095585
2745.483398	-43.225452
2750.866699	-45.526676
2756.250000	-45.284962
2761.633301	-44.812576
2767.016602	-45.953083
2772.399902	-48.214317
2777.783203	-49.360012
2783.166504	-48.710899
2788.549805	-48.712200
2793.933105	-51.048584
2799.316406	-51.907734
2804.699707	-47.142506
2810.083008	-47.564407
2815.466309	-51.079594
2820.849609	-46.809181
2826.232910	-45.450714
2831.616211	-48.384029
2836.999512	-52.703346
2842.382812	-48.400536
2847.766113	-47.051987
2853.149414	-49.557556
2858.532715	-47.466225
2863.916016	-45.040649
2869.299316	-45.366104
2874.682617	-46.799267
2880.065918	-51.474361
2885.449219	-48.361656
2890.832520	-46.095966
2896.215820	-51.864143
2901.599121	-49.627625
2906.982422	-46.669956
2912.365723	-48.060986
2917.749023	-54.024483
2923.132324	-57.567841
2928.515625	-55.766602
2933.898926	-59.799900
2939.282227	-55.046906
2944.665527	-53.862453
2950.048828	-56.037453
2955.432129	-48.668247
2960.815430	-41.336990
2966.198730	-32.673004
2971.582031	-30.169901
2976.965332	-36.199562
2982.348633	-42.922832
2987.731934	-36.491993
2993.115234	-40.553902
2998.498535	-64.394691
3003.881836	-47.832676
3009.265137	-49.683186
3014.648438	-58.398106
3020.031738	-51.556973
3025.415039	-47.332100
3030.798340	-46.085701
3036.181641	-49.409924
3041.564941	-49.040146
3046.948242	-49.242622
3052.331543	-48.325531
3057.714844	-48.101917
3063.098145	-53.318413
3068.481445	-47.836971
3073.864746	-45.945961
3079.248047	-47.350349
3084.631348	-49.339752
3090.014648	-45.901447
3095.397949	-37.797424
3100.781250	-34.452305
3106.164551	-36.370975
3111.547852	-39.655830
3116.931152	-43.276623
3122.314453	-44.259998
3127.697754	-47.146637
3133.081055	-40.202202
3138.464355	-37.543102
3143.847656	-40.274620
3149.230957	-37.186020
3154.614258	-35.885010
3159.997559	-36.212681
3165.380859	-35.309254
3170.764160	-36.996758
3176.147461	-33.888565
3181.530762	-33.605373
3186.914062	-32.512909
3192.297363	-32.601364
3197.680664	-30.496574
3203.063965	-20.566818
3208.447266	-16.031641
3213.830566	-13.309708
3219.213867	-14.799827
3224.597168	-19.906832
3229.980469	-23.467087
3235.363770	-25.012821
3240.747070	-27.316494
3246.130371	-29.273674
3251.513672	-30.853348
3256.896973	-33.918488
3262.280273	-36.484470
3267.663574	-37.967793
3273.046875	-36.240746
3278.430176	-38.319790
3283.813477	-37.839931
3289.196777	-36.584194
3294.580078	-38.535858
3299.963379	-37.300411
3305.346680	-38.839863
3310.729980	-40.205563
3316.113281	-42.338280
3321.496582	-45.055889
3326.879883	-43.503815
3332.263184	-44.890446
3337.646484	-44.211624
3343.029785	-44.650112
3348.413086	-44.315968
3353.796387	-46.160664
3359.179688	-48.572094
3364.562988	-52.036865
3369.946289	-54.216209
3375.329590	-50.991409
3380.712891	-53.180515
3386.096191	-49.648262
3391.479492	-49.136322
3396.862793	-48.586025
3402.246094	-50.383572
3407.629395	-56.252354
3413.012695	-67.022682
3418.395996	-57.212330
3423.779297	-51.698524
3429.162598	-50.678024
3434.545898	-51.358593
3439.929199	-54.604565
3445.312500	-70.107513
3450.695801	-56.031528
3456.079102	-55.463173
3461.462402	-56.041878
3466.845703	-49.989208
3472.229004	-49.269444
3477.612305	-50.141590
3482.995605	-51.934475
3488.378906	-49.950928
3493.762207	-48.953590
3499.145508	-49.896191
3504.528809	-47.854588
3509.912109	-46.445007
3515.295410	-46.032703
3520.678711	-47.838341
3526.062012	-47.379330
3531.445312	-46.492977
3536.828613	-46.941925
3542.211914	-47.390396
3547.595215	-47.221394
3552.978516	-46.063828
3558.361816	-46.606144
3563.745117	-47.552223
3569.128418	-47.305332
3574.511719	-46.236900
3579.895020	-48.492039
3585.278320	-51.839165
3590.661621	-51.808304
3596.044922	-52.028618
3601.428223	-55.222782
3606.811523	-59.987923
3612.194824	-58.036999
3617.578125	-56.512001
3622.961426	-63.065228
3628.344727	-55.288166
3633.728027	-57.366398
3639.111328	-60.969017
3644.494629	-53.181705
3649.877930	-48.576851
3655.261230	-53.124645
3660.644531	-52.388294
3666.027832	-50.548969
3671.411133	-46.602730
3676.794434	-48.114594
3682.177734	-47.716026
3687.561035	-44.852005
3692.944336	-44.535091
3698.327637	-45.372108
3703.710938	-50.414127
3709.094238	-45.321907
3714.477539	-45.562252
3719.860840	-44.799637
3725.244141	-48.596458
3730.627441	-46.181660
3736.010742	-45.082729
3741.394043	-48.903870
3746.777344	-42.546177
3752.160645	-40.674084
3757.543945	-40.393093
3762.927246	-44.883141
3768.310547	-51.517612
3773.693848	-50.660336
3779.077148	-47.655518
3784.460449	-49.220802
3789.843750	-51.663845
3795.227051	-53.401043
3800.610352	-51.136105
3805.993652	-46.702545
3811.376953	-47.740665
3816.760254	-49.691002
3822.143555	-47.325657
3827.526855	-44.799938
3832.910156	-50.115265
3838.293457	-50.616417
3843.676758	-43.468361
3849.060059	-39.843472
3854.443359	-41.134529
3859.826660	-41.884163
3865.209961	-40.038517
3870.593262	-40.923847
3875.976562	-51.242474
3881.359863	-41.493809
3886.743164	-43.227142
3892.126465	-40.770996
3897.509766	-44.505657
3902.893066	-43.731625
3908.276367	-35.023079
3913.659668	-36.054077
3919.042969	-44.870628
3924.426270	-41.763268
3929.809570	-44.795750
3935.192871	-45.793686
3940.576172	-44.746693
3945.959473	-42.872623
3951.342773	-49.645206
3956.726074	-49.210442
3962.109375	-45.950142
3967.492676	-44.607735
3972.875977	-44.773239
3978.259277	-45.786114
3983.642578	-44.298080
3989.025879	-44.371555
3994.409180	-44.793331
3999.792480	-46.424973
4005.175781	-45.256443
4010.559082	-48.748566
4015.942383	-44.060299
4021.325684	-45.504387
4026.708984	-49.258980
4032.092285	-49.683914
4037.475586	-59.629829
4042.858887	-52.639290
4048.242188	-58.631008
4053.625488	-57.248951
4059.008789	-59.143230
4064.392090	-56.228325
4069.775391	-52.188145
4075.158691	-46.394909
4080.541992	-47.272724
4085.925293	-52.378693
4091.308594	-52.919312
4096.691895	-55.366970
4102.075195	-60.670143
4107.458496	-57.193672
4112.841797	-69.474373
4118.225098	-60.702911
4123.608398	-62.125019
4128.991699	-57.940842
4134.375000	-49.662441
4139.758301	-48.870323
4145.141602	-49.258224
4150.524902	-45.435902
4155.908203	-43.468910
4161.291504	-41.421291
4166.674805	-40.179596
4172.058105	-44.242405
4177.441406	-44.045990
4182.824707	-39.690620
4188.208008	-38.633118
