Frequency (Hz)	Level (dB)
5.383301	-27.666294
10.766602	-24.290863
16.149902	-18.955420
21.533203	-20.338440
26.916504	-24.851984
32.299805	-17.440489
37.683105	-17.307154
43.066406	-25.262791
48.449707	-20.763111
53.833008	-17.547323
59.216309	-22.713638
64.599609	-25.758665
69.982910	-19.230165
75.366211	-20.341530
80.749512	-28.085590
86.132812	-23.318577
91.516113	-20.765755
96.899414	-24.968727
102.282715	-29.411377
107.666016	-23.980947
113.049316	-27.445396
118.432617	-33.003017
123.815918	-30.950096
129.199219	-31.541727
134.582520	-27.779615
139.965820	-26.189621
145.349121	-22.472410
150.732422	-24.641142
156.115723	-29.194780
161.499023	-27.324316
166.882324	-29.352703
172.265625	-32.197590
177.648926	-30.036667
183.032227	-33.711769
188.415527	-33.490501
193.798828	-34.996784
199.182129	-36.282406
204.565430	-31.052982
209.948730	-31.778751
215.332031	-37.861824
220.715332	-31.172150
226.098633	-29.790606
231.481934	-32.134796
236.865234	-32.305042
242.248535	-29.005730
247.631836	-29.436403
253.015137	-28.640099
258.398438	-28.789551
263.781738	-31.157507
269.165039	-32.477520
274.548340	-30.289499
279.931641	-31.606508
285.314941	-34.475677
290.698242	-32.939461
296.081543	-34.192829
301.464844	-34.224556
306.848145	-35.433216
312.231445	-44.638351
317.614746	-35.353947
322.998047	-34.578457
328.381348	-39.704163
333.764648	-34.284248
339.147949	-33.673714
344.531250	-39.346230
349.914551	-36.706322
355.297852	-34.138199
360.681152	-38.785561
366.064453	-34.014950
371.447754	-31.034166
376.831055	-34.181732
382.214355	-31.548517
387.597656	-30.746624
392.980957	-38.130928
398.364258	-34.557682
403.747559	-32.326290
409.130859	-35.613003
414.514160	-49.784988
419.897461	-38.857838
425.280762	-35.742836
430.664062	-38.716824
436.047363	-39.247078
441.430664	-35.136337
446.813965	-37.595402
452.197266	-42.339756
457.580566	-45.841820
462.963867	-40.227867
468.347168	-36.837601
473.730469	-40.700188
479.113770	-42.793175
484.497070	-38.449440
489.880371	-39.808895
495.263672	-47.477474
500.646973	-39.501621
506.030273	-37.440960
511.413574	-39.594925
516.796875	-40.013557
522.180176	-39.833633
527.563477	-41.041523
532.946777	-36.453953
538.330078	-37.309322
543.713379	-41.617645
549.096680	-36.588787
554.479980	-36.826515
559.863281	-42.115898
565.246582	-37.692333
570.629883	-36.383026
576.013184	-40.373966
581.396484	-43.609554
586.779785	-39.511826
592.163086	-43.673092
597.546387	-47.428543
602.929688	-46.133240
608.312988	-45.390209
613.696289	-39.111645
619.079590	-38.089302
624.462891	-37.683296
629.846191	-38.953072
635.229492	-40.652359
640.612793	-43.378246
645.996094	-41.427448
651.379395	-39.840359
656.762695	-37.875904
662.145996	-38.056316
667.529297	-38.845436
672.912598	-38.349648
678.295898	-40.549431
683.679199	-43.797745
689.062500	-44.626583
694.445801	-44.750294
699.829102	-48.202137
705.212402	-56.720772
710.595703	-50.489067
715.979004	-48.214619
721.362305	-47.281570
726.745605	-46.680099
732.128906	-45.541107
737.512207	-44.899700
742.895508	-50.705868
748.278809	-40.717224
753.662109	-38.361790
759.045410	-42.495056
764.428711	-50.604446
769.812012	-48.517044
775.195312	-56.035385
780.578613	-46.191528
785.961914	-43.708729
791.345215	-52.978405
796.728516	-37.964008
802.111816	-35.938404
807.495117	-41.564919
812.878418	-45.562008
818.261719	-43.049805
823.645020	-45.566422
829.028320	-49.555695
834.411621	-47.057026
839.794922	-48.344028
845.178223	-51.762707
850.561523	-50.710747
855.944824	-49.428570
861.328125	-45.525570
866.711426	-48.075882
872.094727	-42.467461
877.478027	-41.023232
882.861328	-42.272430
888.244629	-41.455536
893.627930	-33.893970
899.011230	-33.455444
904.394531	-38.968723
909.777832	-36.617336
915.161133	-37.672237
920.544434	-48.417568
925.927734	-42.741177
931.311035	-40.147511
936.694336	-44.560459
942.077637	-47.133102
947.460938	-45.611423
952.844238	-52.301819
958.227539	-45.536537
963.610840	-42.448429
968.994141	-45.118599
974.377441	-50.238266
979.760742	-42.435429
985.144043	-41.864838
990.527344	-46.413429
995.910645	-44.923489
1001.293945	-40.698334
1006.677246	-40.472816
1012.060547	-46.453407
1017.443848	-40.478222
1022.827148	-35.995678
1028.210449	-40.077797
1033.593750	-40.537369
1038.977051	-34.218296
1044.360352	-36.689217
1049.743652	-45.747803
1055.126953	-46.309582
1060.510254	-48.099342
1065.893555	-52.153965
1071.276855	-47.582790
1076.660156	-47.049461
1082.043457	-47.654137
1087.426758	-51.271488
1092.810059	-48.934875
1098.193359	-47.420124
1103.576660	-51.755154
1108.959961	-43.627140
1114.343262	-41.826260
1119.726562	-48.491444
1125.109863	-50.750496
1130.493164	-48.322231
1135.876465	-48.588661
1141.259766	-49.362648
1146.643066	-46.252056
1152.026367	-44.335945
1157.409668	-49.620922
1162.792969	-49.673965
1168.176270	-44.721607
1173.559570	-46.996010
1178.942871	-48.389774
1184.326172	-48.450279
1189.709473	-45.964619
1195.092773	-47.158768
1200.476074	-51.593277
1205.859375	-44.509052
1211.242676	-43.503952
1216.625977	-44.045704
1222.009277	-41.345222
1227.392578	-39.827267
1232.775879	-41.376637
1238.159180	-42.579632
1243.542480	-42.650986
1248.925781	-41.629471
1254.309082	-38.332981
1259.692383	-36.933319
1265.075684	-39.007336
1270.458984	-39.584248
1275.842285	-39.635395
1281.225586	-41.885765
1286.608887	-45.891212
1291.992188	-44.826706
1297.375488	-44.466450
1302.758789	-48.885441
1308.142090	-45.531570
1313.525391	-44.846859
1318.908691	-45.513855
1324.291992	-47.306740
1329.675293	-47.993912
1335.058594	-48.287956
1340.441895	-45.423695
1345.825195	-43.399361
1351.208496	-45.918064
1356.591797	-48.906479
1361.975098	-44.563084
1367.358398	-45.472946
1372.741699	-45.114857
1378.125000	-45.657684
1383.508301	-46.302090
1388.891602	-45.544765
1394.274902	-47.282974
1399.658203	-49.497723
1405.041504	-50.416679
1410.424805	-46.766964
1415.808105	-47.896141
1421.191406	-47.143261
1426.574707	-42.705437
1431.958008	-45.895054
1437.341309	-47.159309
1442.724609	-39.800110
1448.107910	-43.961964
1453.491211	-41.860142
1458.874512	-37.776035
1464.257812	-41.829361
1469.641113	-48.055561
1475.024414	-47.055176
1480.407715	-46.921963
1485.791016	-51.026909
1491.174316	-48.232700
1496.557617	-45.878693
1501.940918	-47.185139
1507.324219	-45.711658
1512.707520	-39.732788
1518.090820	-30.176033
1523.474121	-30.961130
1528.857422	-34.762867
1534.240723	-37.604633
1539.624023	-46.728561
1545.007324	-44.432205
1550.390625	-42.853268
1555.773926	-50.120956
1561.157227	-47.627800
1566.540527	-45.593784
1571.923828	-51.047726
1577.307129	-55.095448
1582.690430	-54.874672
1588.073730	-50.092640
1593.457031	-50.979488
1598.840332	-53.538921
1604.223633	-53.789108
1609.606934	-49.856464
1614.990234	-48.406189
1620.373535	-44.027290
1625.756836	-41.769329
1631.140137	-44.400806
1636.523438	-44.752598
1641.906738	-39.333015
1647.290039	-34.986446
1652.673340	-32.758492
1658.056641	-39.614731
1663.439941	-51.565495
1668.823242	-48.946419
1674.206543	-43.104919
1679.589844	-44.410301
1684.973145	-46.919266
1690.356445	-42.347828
1695.739746	-44.058544
1701.123047	-51.374660
1706.506348	-43.281879
1711.889648	-46.020134
1717.272949	-47.664833
1722.656250	-42.231808
1728.039551	-42.890907
1733.422852	-42.809490
1738.806152	-41.580353
1744.189453	-46.144367
1749.572754	-42.134918
1754.956055	-40.004456
1760.339355	-46.687225
1765.722656	-40.973930
1771.105957	-38.423828
1776.489258	-43.777908
1781.872559	-44.130871
1787.255859	-38.948559
1792.639160	-42.576237
1798.022461	-45.407215
1803.405762	-40.401371
1808.789062	-45.645428
1814.172363	-43.832375
1819.555664	-40.651669
1824.938965	-48.167145
1830.322266	-43.125965
1835.705566	-41.114891
1841.088867	-50.207272
1846.472168	-42.490364
1851.855469	-41.468651
1857.238770	-49.181503
1862.622070	-45.142811
1868.005371	-44.604626
1873.388672	-50.233208
1878.771973	-48.792042
1884.155273	-47.516777
1889.538574	-52.080757
1894.921875	-45.569389
1900.305176	-43.410297
1905.688477	-46.293701
1911.071777	-48.877319
1916.455078	-53.212727
1921.838379	-53.793495
1927.221680	-53.316059
1932.604980	-54.503197
1937.988281	-50.577251
1943.371582	-52.261600
1948.754883	-52.716656
1954.138184	-47.166981
1959.521484	-49.338017
1964.904785	-52.104908
1970.288086	-46.008984
1975.671387	-48.539593
1981.054688	-47.728863
1986.437988	-47.056904
1991.821289	-48.042213
1997.204590	-51.735161
2002.587891	-59.718151
2007.971191	-59.112572
2013.354492	-56.154388
2018.737793	-57.347836
2024.121094	-55.948898
2029.504395	-54.744553
2034.887695	-54.352993
2040.270996	-53.900032
2045.654297	-50.147297
2051.037598	-49.690098
2056.420898	-51.653656
2061.804199	-57.010792
2067.187500	-51.692532
2072.570801	-48.898121
2077.954102	-50.452217
2083.337402	-46.459099
2088.720703	-46.585857
2094.104004	-47.161472
2099.487305	-48.234234
2104.870605	-51.080662
2110.253906	-48.926750
2115.637207	-47.893219
2121.020508	-50.607807
2126.403809	-48.926319
2131.787109	-48.200123
2137.170410	-53.369576
2142.553711	-55.020622
2147.937012	-50.816147
2153.320312	-49.995533
2158.703613	-50.024460
2164.086914	-49.558964
2169.470215	-45.722378
2174.853516	-46.140316
2180.236816	-49.359669
2185.620117	-51.847099
2191.003418	-49.846741
2196.386719	-53.525158
2201.770020	-61.044910
2207.153320	-50.379200
2212.536621	-46.615204
2217.919922	-43.789845
2223.303223	-42.578785
2228.686523	-44.738567
