Frequency (Hz)	Level (dB)
5.383301	-32.866730
10.766602	-30.772266
16.149902	-30.833460
21.533203	-30.874634
26.916504	-30.245535
32.299805	-29.139179
37.683105	-28.101231
43.066406	-27.632187
48.449707	-27.167273
53.833008	-27.826736
59.216309	-29.357597
64.599609	-30.399801
69.982910	-30.061741
75.366211	-28.855429
80.749512	-28.193327
86.132812	-28.512001
91.516113	-29.401569
96.899414	-30.869350
102.282715	-32.008995
107.666016	-32.409485
113.049316	-32.119480
118.432617	-31.614326
123.815918	-31.481350
129.199219	-31.173759
134.582520	-31.783617
139.965820	-33.519314
145.349121	-34.778069
150.732422	-34.529331
156.115723	-35.066090
161.499023	-36.787838
166.882324	-37.923977
172.265625	-38.981644
177.648926	-37.848499
183.032227	-36.351292
188.415527	-35.095768
193.798828	-35.101822
199.182129	-35.781525
204.565430	-36.773029
209.948730	-38.805973
215.332031	-41.062881
220.715332	-41.546654
226.098633	-43.749489
231.481934	-44.371685
236.865234	-46.489113
242.248535	-46.459957
247.631836	-43.562660
253.015137	-45.372288
258.398438	-48.316792
263.781738	-52.335205
269.165039	-55.417549
274.548340	-47.410107
279.931641	-42.597359
285.314941	-44.446014
290.698242	-44.354321
296.081543	-43.880455
301.464844	-41.543327
306.848145	-39.761616
312.231445	-40.817993
317.614746	-41.156765
322.998047	-41.699574
328.381348	-40.412781
333.764648	-38.951817
339.147949	-37.026192
344.531250	-36.144253
349.914551	-38.681870
355.297852	-41.138214
360.681152	-43.983379
366.064453	-40.968994
371.447754	-42.605225
376.831055	-43.187370
382.214355	-44.729370
387.597656	-47.541370
392.980957	-46.531857
398.364258	-40.527931
403.747559	-36.857899
409.130859	-39.267002
414.514160	-44.227375
419.897461	-44.073799
425.280762	-44.564289
430.664062	-44.307800
436.047363	-46.210339
441.430664	-47.625454
446.813965	-43.554676
452.197266	-40.616241
457.580566	-38.697563
462.963867	-38.366135
468.347168	-40.357109
473.730469	-42.861408
479.113770	-41.651676
484.497070	-40.054352
489.880371	-38.420967
495.263672	-38.189621
500.646973	-41.235783
506.030273	-42.774006
511.413574	-43.850266
516.796875	-38.485176
522.180176	-38.019871
527.563477	-34.913185
532.946777	-34.811077
538.330078	-35.894592
543.713379	-32.856152
549.096680	-32.374706
554.479980	-34.225433
559.863281	-34.128979
565.246582	-36.338837
570.629883	-36.694347
576.013184	-39.200790
581.396484	-39.292892
586.779785	-39.780064
592.163086	-40.699635
597.546387	-42.875793
602.929688	-39.593876
608.312988	-39.927910
613.696289	-37.933590
619.079590	-36.989521
624.462891	-35.953655
629.846191	-34.706470
635.229492	-34.665276
640.612793	-36.235809
645.996094	-37.789581
651.379395	-38.713219
656.762695	-40.003799
662.145996	-43.134151
667.529297	-46.370075
672.912598	-46.154396
678.295898	-48.897114
683.679199	-53.742218
689.062500	-54.676472
694.445801	-52.294502
699.829102	-52.279602
705.212402	-56.372990
710.595703	-57.311615
715.979004	-54.342518
721.362305	-53.775093
726.745605	-51.969360
732.128906	-53.610352
737.512207	-50.153652
742.895508	-46.242443
748.278809	-45.349552
753.662109	-46.742092
759.045410	-49.205090
764.428711	-48.916748
769.812012	-50.623173
775.195312	-50.472691
780.578613	-50.003349
785.961914	-49.293339
791.345215	-46.559380
796.728516	-44.964020
802.111816	-45.346275
807.495117	-46.765686
812.878418	-46.736752
818.261719	-47.631969
823.645020	-49.232742
829.028320	-51.008114
834.411621	-52.162174
839.794922	-52.077175
845.178223	-51.692860
850.561523	-51.571388
855.944824	-51.754917
861.328125	-52.820774
866.711426	-51.221134
872.094727	-49.371719
877.478027	-49.052711
882.861328	-49.114227
888.244629	-51.297932
893.627930	-56.457340
899.011230	-59.083218
904.394531	-54.008190
909.777832	-51.135437
915.161133	-49.195847
920.544434	-48.061050
925.927734	-48.777767
931.311035	-48.134911
936.694336	-47.676479
942.077637	-48.381390
947.460938	-47.890415
952.844238	-46.685749
958.227539	-45.319782
963.610840	-45.087429
968.994141	-45.048622
974.377441	-45.447517
979.760742	-45.441502
985.144043	-47.896980
990.527344	-52.098297
995.910645	-57.961128
1001.293945	-62.340164
1006.677246	-57.424950
1012.060547	-53.383335
1017.443848	-52.912060
1022.827148	-55.958912
1028.210449	-57.379818
1033.593750	-60.224457
1038.977051	-65.312851
1044.360352	-71.256416
1049.743652	-71.249702
1055.126953	-67.418106
1060.510254	-64.932571
1065.893555	-64.718323
1071.276855	-63.894501
1076.660156	-60.219612
1082.043457	-55.630283
1087.426758	-53.998775
1092.810059	-51.886723
1098.193359	-51.930874
1103.576660	-55.270416
1108.959961	-59.517475
1114.343262	-62.002243
1119.726562	-63.300323
1125.109863	-59.334793
1130.493164	-56.299595
1135.876465	-54.646400
1141.259766	-56.499767
1146.643066	-62.258575
1152.026367	-67.674179
1157.409668	-64.985077
1162.792969	-58.927658
1168.176270	-56.128418
1173.559570	-55.246254
1178.942871	-55.920727
1184.326172	-56.437214
1189.709473	-58.339230
1195.092773	-61.571518
1200.476074	-58.839512
1205.859375	-55.165985
1211.242676	-55.697544
1216.625977	-57.099930
1222.009277	-57.139679
1227.392578	-61.407959
1232.775879	-60.307617
1238.159180	-58.225388
1243.542480	-58.562164
1248.925781	-57.355618
1254.309082	-58.423374
1259.692383	-59.354671
1265.075684	-54.678421
1270.458984	-52.393433
1275.842285	-52.112209
1281.225586	-51.903641
1286.608887	-55.039162
1291.992188	-59.325878
1297.375488	-63.635101
1302.758789	-62.392159
1308.142090	-54.603359
1313.525391	-52.191006
1318.908691	-52.969494
1324.291992	-51.884327
1329.675293	-51.133961
1335.058594	-50.573284
1340.441895	-53.602615
1345.825195	-57.692429
1351.208496	-54.400345
1356.591797	-52.481331
1361.975098	-53.136173
1367.358398	-52.658127
1372.741699	-52.430840
1378.125000	-53.600304
1383.508301	-53.590721
1388.891602	-53.860153
1394.274902	-51.602604
1399.658203	-49.454357
1405.041504	-48.859623
1410.424805	-49.764587
1415.808105	-49.254452
1421.191406	-51.192314
1426.574707	-54.133923
1431.958008	-54.133492
1437.341309	-50.828907
1442.724609	-48.676422
1448.107910	-47.989597
1453.491211	-47.060257
1458.874512	-47.573689
1464.257812	-48.248253
1469.641113	-50.289452
1475.024414	-55.256180
1480.407715	-52.293961
1485.791016	-47.732658
1491.174316	-44.821274
1496.557617	-43.985100
1501.940918	-44.396801
1507.324219	-44.734547
1512.707520	-44.395565
1518.090820	-44.053391
1523.474121	-43.036007
1528.857422	-43.944286
1534.240723	-48.117573
1539.624023	-54.647175
