Frequency (Hz)	Level (dB)
5.383301	-57.477467
10.766602	-53.017105
16.149902	-51.198463
21.533203	-50.807880
26.916504	-42.332977
32.299805	-40.451355
37.683105	-42.286186
43.066406	-41.964840
48.449707	-39.543949
53.833008	-39.515911
59.216309	-38.701927
64.599609	-40.376789
69.982910	-41.787529
75.366211	-41.640709
80.749512	-41.520344
86.132812	-41.945084
91.516113	-42.619011
96.899414	-44.193073
102.282715	-46.021965
107.666016	-47.984562
113.049316	-46.420708
118.432617	-44.439163
123.815918	-42.989254
129.199219	-43.833199
134.582520	-47.205406
139.965820	-47.804394
145.349121	-44.051338
150.732422	-42.848869
156.115723	-42.041103
161.499023	-41.663147
166.882324	-39.436184
172.265625	-36.847694
177.648926	-35.188305
183.032227	-34.582550
188.415527	-34.574810
193.798828	-34.723537
199.182129	-33.635918
204.565430	-31.476122
209.948730	-29.861868
215.332031	-28.697203
220.715332	-29.448164
226.098633	-32.702549
231.481934	-35.960403
236.865234	-35.623310
242.248535	-34.278648
247.631836	-33.362602
253.015137	-33.394958
258.398438	-35.525852
263.781738	-41.555347
269.165039	-40.287827
274.548340	-34.814415
279.931641	-34.058254
285.314941	-34.799946
290.698242	-33.616196
296.081543	-33.041500
301.464844	-34.190971
306.848145	-35.421947
312.231445	-32.803074
317.614746	-29.939249
322.998047	-28.387527
328.381348	-27.596989
333.764648	-27.550495
339.147949	-30.223297
344.531250	-34.608234
349.914551	-36.162682
355.297852	-36.005054
360.681152	-35.042313
366.064453	-33.978100
371.447754	-32.640957
376.831055	-32.599846
382.214355	-33.054333
387.597656	-33.118668
392.980957	-33.303612
398.364258	-34.380421
403.747559	-36.422783
409.130859	-35.664188
414.514160	-34.299740
419.897461	-35.560421
425.280762	-35.840157
430.664062	-33.022804
436.047363	-31.811934
441.430664	-32.258648
446.813965	-33.259956
452.197266	-32.838127
457.580566	-30.318007
462.963867	-28.760326
468.347168	-28.047056
473.730469	-28.444286
479.113770	-30.665792
484.497070	-31.342466
489.880371	-29.026314
495.263672	-28.476702
500.646973	-28.290388
506.030273	-28.943504
511.413574	-31.423698
516.796875	-35.860001
522.180176	-40.377548
527.563477	-40.592327
532.946777	-36.937504
538.330078	-35.589218
543.713379	-35.711758
549.096680	-37.247494
554.479980	-38.339142
559.863281	-39.121120
565.246582	-40.628250
570.629883	-41.859062
576.013184	-39.891724
581.396484	-38.032879
586.779785	-37.916367
592.163086	-41.235561
597.546387	-48.247356
602.929688	-41.143665
608.312988	-37.975601
613.696289	-38.737076
619.079590	-39.758667
624.462891	-35.844414
629.846191	-30.350088
635.229492	-27.179594
640.612793	-27.170942
645.996094	-29.178875
651.379395	-33.739937
656.762695	-43.737377
662.145996	-33.863487
667.529297	-29.009996
672.912598	-27.904417
678.295898	-28.721102
683.679199	-29.608675
689.062500	-29.716682
694.445801	-30.375130
699.829102	-31.675692
705.212402	-32.653095
710.595703	-33.562813
715.979004	-35.995312
721.362305	-41.248600
726.745605	-38.063763
732.128906	-33.582737
737.512207	-33.264183
742.895508	-36.061634
748.278809	-38.077644
753.662109	-38.557903
759.045410	-38.234058
764.428711	-38.718842
769.812012	-36.284645
775.195312	-35.200371
780.578613	-37.509155
785.961914	-41.579544
791.345215	-47.232536
796.728516	-54.256882
802.111816	-46.250736
807.495117	-44.409176
812.878418	-46.551289
818.261719	-52.034252
823.645020	-59.932652
829.028320	-46.545162
834.411621	-42.011238
839.794922	-42.357155
845.178223	-45.797962
850.561523	-47.114067
855.944824	-49.281796
861.328125	-56.077530
866.711426	-53.926460
872.094727	-50.506424
877.478027	-49.183502
882.861328	-48.040825
888.244629	-48.272671
893.627930	-49.226097
899.011230	-47.892990
904.394531	-49.663227
909.777832	-52.729721
915.161133	-54.425629
920.544434	-52.332905
925.927734	-50.820663
931.311035	-51.884808
936.694336	-53.714062
942.077637	-53.665562
947.460938	-49.782410
952.844238	-48.058430
958.227539	-48.712128
963.610840	-48.806671
968.994141	-45.099052
974.377441	-43.414703
979.760742	-45.512951
985.144043	-48.403152
990.527344	-49.823582
995.910645	-48.783588
1001.293945	-49.734062
1006.677246	-50.776752
1012.060547	-50.598259
1017.443848	-49.138748
1022.827148	-47.872356
1028.210449	-49.133255
1033.593750	-52.913593
1038.977051	-56.808628
1044.360352	-51.021698
1049.743652	-47.585705
1055.126953	-47.906643
1060.510254	-50.845692
1065.893555	-56.098553
