Frequency (Hz)	Level (dB)
5.383301	-32.972057
10.766602	-29.358057
16.149902	-27.761036
21.533203	-27.060795
26.916504	-27.190849
32.299805	-27.542448
37.683105	-26.324791
43.066406	-26.292263
48.449707	-26.732378
53.833008	-27.316778
59.216309	-27.186380
64.599609	-26.866436
69.982910	-26.591681
75.366211	-26.546127
80.749512	-27.364120
86.132812	-28.249931
91.516113	-27.697922
96.899414	-27.416784
102.282715	-27.625231
107.666016	-28.046045
113.049316	-28.908552
118.432617	-30.440487
123.815918	-31.680986
129.199219	-30.392431
134.582520	-28.986782
139.965820	-29.327276
145.349121	-32.348999
150.732422	-35.920898
156.115723	-36.980515
161.499023	-38.084805
166.882324	-36.567616
172.265625	-35.857075
177.648926	-37.135269
183.032227	-31.899710
188.415527	-27.638363
193.798828	-26.008825
199.182129	-25.679943
204.565430	-25.117292
209.948730	-23.773335
215.332031	-24.118694
220.715332	-29.619133
226.098633	-41.078884
231.481934	-38.399700
236.865234	-37.242798
242.248535	-32.878128
247.631836	-31.565426
253.015137	-33.638996
258.398438	-33.936588
263.781738	-29.040930
269.165039	-26.849792
274.548340	-25.873026
279.931641	-25.628794
285.314941	-25.422905
290.698242	-24.587076
296.081543	-24.328272
301.464844	-26.544359
306.848145	-25.842230
312.231445	-21.752115
317.614746	-21.216061
322.998047	-24.177652
328.381348	-31.557291
333.764648	-38.028355
339.147949	-47.721039
344.531250	-35.167408
349.914551	-27.706993
355.297852	-24.330412
360.681152	-24.423136
366.064453	-28.083160
371.447754	-33.439758
376.831055	-32.421001
382.214355	-34.434193
387.597656	-41.572990
392.980957	-40.703667
398.364258	-32.283081
403.747559	-29.410723
409.130859	-30.030842
414.514160	-33.490124
419.897461	-41.755901
425.280762	-30.820747
430.664062	-25.933632
436.047363	-27.594248
441.430664	-29.883108
446.813965	-30.828108
452.197266	-35.375351
457.580566	-37.938000
462.963867	-35.520863
468.347168	-37.365570
473.730469	-45.424797
479.113770	-43.081558
484.497070	-38.818741
489.880371	-37.754921
495.263672	-36.931709
500.646973	-37.218246
506.030273	-41.505512
511.413574	-44.024837
516.796875	-42.781357
522.180176	-45.142139
527.563477	-43.490368
532.946777	-35.118595
538.330078	-30.278643
543.713379	-28.261358
549.096680	-29.071125
554.479980	-29.314089
559.863281	-27.957396
565.246582	-24.672155
570.629883	-19.688633
576.013184	-17.761639
581.396484	-18.671783
586.779785	-22.720898
592.163086	-27.201506
597.546387	-24.074636
602.929688	-20.721479
608.312988	-20.485048
613.696289	-24.602808
619.079590	-28.914202
624.462891	-28.014679
629.846191	-27.477913
635.229492	-26.208790
640.612793	-26.313641
645.996094	-29.055691
651.379395	-39.955990
656.762695	-25.218559
662.145996	-21.217451
667.529297	-23.668962
672.912598	-31.041859
678.295898	-32.535675
683.679199	-33.030628
689.062500	-34.747753
694.445801	-37.827488
699.829102	-32.672096
705.212402	-26.745190
710.595703	-25.988150
715.979004	-27.160292
721.362305	-25.572029
726.745605	-27.601973
732.128906	-31.040146
737.512207	-31.985561
742.895508	-36.089020
748.278809	-44.265072
