Frequency (Hz)	Level (dB)
5.383301	-53.968117
10.766602	-50.656342
16.149902	-50.020958
21.533203	-51.880226
26.916504	-49.478699
32.299805	-53.474857
37.683105	-55.370155
43.066406	-48.125820
48.449707	-40.944859
53.833008	-42.284939
59.216309	-50.364742
64.599609	-50.929008
69.982910	-55.406086
75.366211	-53.616047
80.749512	-49.688423
86.132812	-48.624725
91.516113	-49.144917
96.899414	-51.171268
102.282715	-51.957317
107.666016	-54.523159
113.049316	-51.947556
118.432617	-46.418102
123.815918	-45.124619
129.199219	-47.492844
134.582520	-52.646656
139.965820	-55.113289
145.349121	-46.002476
150.732422	-41.511181
156.115723	-41.517578
161.499023	-41.203350
166.882324	-37.909401
172.265625	-39.003754
177.648926	-43.392193
183.032227	-41.750622
188.415527	-37.730789
193.798828	-36.588341
199.182129	-35.883541
204.565430	-39.538628
209.948730	-45.421246
215.332031	-42.121830
220.715332	-40.312759
226.098633	-41.461399
231.481934	-45.897324
236.865234	-38.440327
242.248535	-34.133831
247.631836	-32.271027
253.015137	-30.523912
258.398438	-31.840578
263.781738	-30.541950
269.165039	-26.590313
274.548340	-25.417107
279.931641	-29.817028
285.314941	-36.721634
290.698242	-40.926640
296.081543	-42.924568
301.464844	-42.144722
306.848145	-39.776672
312.231445	-31.605808
317.614746	-30.032066
322.998047	-33.503666
328.381348	-40.295670
333.764648	-41.685768
339.147949	-44.221001
344.531250	-45.520103
349.914551	-41.362488
355.297852	-42.802822
360.681152	-40.486340
366.064453	-38.596943
371.447754	-36.350925
376.831055	-32.019623
382.214355	-31.257830
387.597656	-33.261620
392.980957	-31.526556
398.364258	-31.987650
403.747559	-34.897987
409.130859	-40.384773
414.514160	-43.972885
419.897461	-43.389179
425.280762	-45.334476
430.664062	-46.348896
436.047363	-45.919350
441.430664	-39.588146
446.813965	-35.534122
452.197266	-34.234715
457.580566	-30.277948
462.963867	-31.031372
468.347168	-38.294487
473.730469	-40.106461
479.113770	-40.559662
484.497070	-37.532875
489.880371	-33.101936
495.263672	-33.509312
500.646973	-33.034473
506.030273	-35.751438
511.413574	-41.334816
516.796875	-42.475784
522.180176	-44.716698
527.563477	-42.265079
532.946777	-38.498638
538.330078	-40.711437
543.713379	-38.363216
549.096680	-32.175949
554.479980	-31.553785
559.863281	-34.916103
565.246582	-36.612564
570.629883	-38.752560
576.013184	-37.182755
581.396484	-32.862526
586.779785	-29.551081
592.163086	-29.027569
597.546387	-29.261930
602.929688	-34.132286
608.312988	-44.188786
613.696289	-46.122910
619.079590	-46.598591
624.462891	-50.233887
629.846191	-52.072548
635.229492	-48.762844
640.612793	-48.019299
645.996094	-46.467876
651.379395	-46.305946
656.762695	-49.475719
662.145996	-55.093563
667.529297	-48.636227
672.912598	-42.494404
678.295898	-41.386196
683.679199	-42.411724
689.062500	-43.788067
694.445801	-47.159878
699.829102	-53.185143
705.212402	-55.728081
710.595703	-49.893143
715.979004	-49.290329
721.362305	-48.375061
726.745605	-45.340569
732.128906	-41.423332
737.512207	-39.335232
742.895508	-38.641464
748.278809	-35.781063
753.662109	-36.800941
759.045410	-46.581512
764.428711	-43.039745
769.812012	-35.063538
775.195312	-29.762478
780.578613	-26.258675
785.961914	-26.825993
791.345215	-29.427391
796.728516	-31.864397
802.111816	-33.758938
807.495117	-39.133068
812.878418	-42.622677
818.261719	-38.758961
823.645020	-39.297508
829.028320	-43.953369
834.411621	-38.162750
839.794922	-32.533909
845.178223	-30.367193
850.561523	-29.996389
855.944824	-30.272537
861.328125	-32.387657
866.711426	-33.794193
872.094727	-36.110355
877.478027	-38.993343
882.861328	-37.905067
888.244629	-38.217522
893.627930	-38.627739
899.011230	-37.523869
904.394531	-37.802906
909.777832	-38.713310
915.161133	-41.946247
920.544434	-44.971920
925.927734	-43.166885
931.311035	-41.099525
936.694336	-40.035324
942.077637	-40.734653
947.460938	-44.708454
