Frequency (Hz)	Level (dB)
5.383301	-35.236149
10.766602	-33.561615
16.149902	-31.456327
21.533203	-29.732040
26.916504	-28.760771
32.299805	-28.005125
37.683105	-27.405582
43.066406	-26.997559
48.449707	-26.595066
53.833008	-26.537617
59.216309	-26.549116
64.599609	-26.567871
69.982910	-26.620682
75.366211	-26.774710
80.749512	-27.027401
86.132812	-27.070019
91.516113	-27.086298
96.899414	-27.380419
102.282715	-27.598772
107.666016	-27.647757
113.049316	-27.790825
118.432617	-27.931242
123.815918	-28.017996
129.199219	-28.124771
134.582520	-28.209267
139.965820	-28.317423
145.349121	-28.593719
150.732422	-28.912184
156.115723	-29.170176
161.499023	-29.363909
166.882324	-29.696026
172.265625	-30.135033
177.648926	-30.572870
183.032227	-31.186518
188.415527	-31.738758
193.798828	-32.075493
199.182129	-31.978479
204.565430	-31.560284
209.948730	-31.029341
215.332031	-29.864672
220.715332	-28.485418
226.098633	-27.915859
231.481934	-28.674568
236.865234	-28.014898
242.248535	-29.190298
247.631836	-30.487669
253.015137	-31.722946
258.398438	-32.172607
263.781738	-33.278255
269.165039	-32.818104
274.548340	-30.506554
279.931641	-30.650612
285.314941	-27.792164
290.698242	-23.477814
296.081543	-22.226908
301.464844	-21.403864
306.848145	-24.189741
312.231445	-26.668327
317.614746	-30.219511
322.998047	-35.557285
328.381348	-39.211643
333.764648	-39.105148
339.147949	-37.264290
344.531250	-37.530182
349.914551	-40.817772
355.297852	-42.668556
360.681152	-42.960976
366.064453	-41.434910
371.447754	-44.323292
376.831055	-44.647121
382.214355	-44.019096
387.597656	-42.789005
392.980957	-39.716244
398.364258	-39.637459
403.747559	-40.410500
409.130859	-38.320312
414.514160	-35.761070
419.897461	-36.526672
425.280762	-36.699142
430.664062	-34.949074
436.047363	-34.659019
441.430664	-33.004742
446.813965	-31.435743
452.197266	-30.249290
457.580566	-24.225166
462.963867	-22.971207
468.347168	-25.180090
473.730469	-27.829529
479.113770	-31.276356
484.497070	-33.693359
489.880371	-33.627640
495.263672	-30.916578
500.646973	-28.625629
506.030273	-29.411028
511.413574	-33.630741
516.796875	-36.843708
522.180176	-32.450874
527.563477	-30.047005
532.946777	-28.881554
538.330078	-28.028536
543.713379	-27.548548
549.096680	-27.125790
554.479980	-26.265308
559.863281	-25.605391
565.246582	-24.673214
570.629883	-23.692451
576.013184	-23.711920
581.396484	-26.032814
586.779785	-29.447762
592.163086	-32.066803
597.546387	-32.937157
602.929688	-28.142838
608.312988	-27.909496
613.696289	-32.020191
619.079590	-37.842861
624.462891	-34.815472
629.846191	-36.564037
635.229492	-39.136597
640.612793	-37.018166
645.996094	-37.127895
651.379395	-40.247475
656.762695	-37.295792
662.145996	-36.368698
667.529297	-35.579590
672.912598	-35.009365
678.295898	-36.343021
683.679199	-38.861477
689.062500	-38.961308
694.445801	-40.742298
699.829102	-39.440651
705.212402	-38.050446
710.595703	-35.316593
715.979004	-37.677059
721.362305	-38.143013
726.745605	-36.734833
732.128906	-35.977299
737.512207	-34.350498
742.895508	-32.535412
748.278809	-33.708561
753.662109	-32.356052
759.045410	-29.940941
764.428711	-30.193539
769.812012	-29.661037
775.195312	-28.276560
780.578613	-22.827980
785.961914	-20.095760
791.345215	-23.088497
796.728516	-32.222336
802.111816	-28.818623
807.495117	-28.494944
812.878418	-29.236443
818.261719	-30.069130
823.645020	-29.781879
829.028320	-28.691578
834.411621	-27.221817
839.794922	-28.949278
845.178223	-31.157692
850.561523	-28.011700
855.944824	-25.614037
861.328125	-24.734058
866.711426	-24.588875
872.094727	-27.975668
877.478027	-29.526630
882.861328	-28.675039
888.244629	-31.176888
893.627930	-33.135506
899.011230	-33.697033
904.394531	-34.547573
909.777832	-33.313690
915.161133	-33.050354
920.544434	-35.571114
925.927734	-36.008690
931.311035	-35.728485
936.694336	-38.808517
942.077637	-39.307121
947.460938	-37.837646
952.844238	-38.596348
958.227539	-38.234390
963.610840	-35.403305
968.994141	-34.714714
974.377441	-34.192410
979.760742	-33.315731
985.144043	-30.412430
990.527344	-25.495083
995.910645	-24.709452
1001.293945	-27.920950
1006.677246	-29.404442
1012.060547	-29.576023
1017.443848	-32.452682
1022.827148	-34.333134
1028.210449	-34.755516
1033.593750	-36.100529
1038.977051	-35.854416
1044.360352	-35.927002
1049.743652	-36.644993
1055.126953	-37.915813
1060.510254	-39.754581
1065.893555	-42.481205
1071.276855	-44.479794
1076.660156	-44.897045
1082.043457	-42.822655
1087.426758	-41.064785
1092.810059	-41.206154
1098.193359	-42.307877
1103.576660	-44.766006
1108.959961	-45.187244
1114.343262	-43.066345
1119.726562	-42.762005
1125.109863	-42.049362
1130.493164	-40.065907
1135.876465	-39.563232
1141.259766	-40.692162
1146.643066	-41.234478
1152.026367	-42.288403
1157.409668	-42.831940
1162.792969	-40.948303
1168.176270	-40.756207
1173.559570	-40.337318
1178.942871	-39.703835
1184.326172	-40.246826
1189.709473	-42.090744
1195.092773	-41.891945
1200.476074	-41.412453
1205.859375	-41.089550
1211.242676	-41.019890
1216.625977	-42.831306
1222.009277	-42.847416
1227.392578	-37.804237
1232.775879	-36.147968
1238.159180	-37.961796
1243.542480	-42.458397
1248.925781	-39.731705
1254.309082	-38.062283
1259.692383	-40.552937
1265.075684	-43.295940
1270.458984	-44.301788
1275.842285	-45.805092
1281.225586	-43.360031
1286.608887	-43.974182
1291.992188	-45.020805
1297.375488	-46.860157
1302.758789	-45.103516
1308.142090	-44.242970
1313.525391	-45.520496
1318.908691	-44.701069
1324.291992	-43.711304
1329.675293	-41.932117
1335.058594	-39.204109
1340.441895	-39.925869
1345.825195	-41.880466
1351.208496	-41.552235
1356.591797	-41.903572
1361.975098	-42.723179
1367.358398	-43.172005
1372.741699	-45.557152
1378.125000	-45.726715
1383.508301	-41.608307
1388.891602	-40.011276
1394.274902	-40.416496
1399.658203	-39.101330
1405.041504	-38.145081
1410.424805	-37.965248
1415.808105	-38.451923
1421.191406	-38.252560
1426.574707	-39.083202
1431.958008	-39.759460
1437.341309	-38.382996
1442.724609	-36.969795
1448.107910	-36.652504
1453.491211	-37.006130
1458.874512	-38.035110
1464.257812	-38.201645
1469.641113	-38.972954
1475.024414	-38.360695
1480.407715	-37.373440
1485.791016	-37.175163
1491.174316	-37.166504
1496.557617	-37.413445
1501.940918	-36.082733
1507.324219	-35.863037
1512.707520	-35.449936
1518.090820	-34.650055
1523.474121	-33.850288
1528.857422	-33.041721
1534.240723	-33.029121
1539.624023	-32.864670
1545.007324	-34.740570
1550.390625	-35.154850
1555.773926	-36.694607
1561.157227	-37.594578
1566.540527	-41.009640
1571.923828	-45.765491
1577.307129	-42.085796
1582.690430	-42.573658
1588.073730	-42.238598
1593.457031	-42.017838
1598.840332	-41.766548
1604.223633	-41.709961
1609.606934	-41.622341
1614.990234	-41.254608
1620.373535	-39.895809
1625.756836	-40.588120
1631.140137	-45.362312
1636.523438	-46.258545
1641.906738	-41.465969
1647.290039	-36.605740
1652.673340	-36.556583
1658.056641	-39.588570
1663.439941	-43.266506
1668.823242	-45.184147
1674.206543	-46.209259
1679.589844	-44.401821
1684.973145	-40.328064
1690.356445	-38.460110
1695.739746	-38.206688
1701.123047	-39.130466
1706.506348	-41.618298
1711.889648	-43.015549
1717.272949	-43.798206
1722.656250	-43.716663
1728.039551	-42.464745
1733.422852	-40.953529
1738.806152	-39.557945
1744.189453	-39.610039
1749.572754	-39.698418
1754.956055	-38.931072
1760.339355	-38.789612
1765.722656	-39.672813
1771.105957	-40.059593
1776.489258	-39.849007
1781.872559	-39.911434
1787.255859	-42.462170
1792.639160	-46.300442
1798.022461	-48.101566
1803.405762	-47.333820
1808.789062	-45.995613
1814.172363	-45.227081
1819.555664	-46.504662
1824.938965	-47.037155
1830.322266	-46.965729
1835.705566	-48.531399
1841.088867	-46.656315
1846.472168	-42.756329
1851.855469	-40.282372
1857.238770	-40.200642
1862.622070	-40.300430
1868.005371	-41.203342
1873.388672	-41.426796
1878.771973	-41.112915
1884.155273	-40.418640
1889.538574	-38.855621
1894.921875	-38.887886
1900.305176	-37.663830
1905.688477	-39.104561
1911.071777	-39.382885
1916.455078	-38.579025
1921.838379	-39.296402
1927.221680	-43.591705
1932.604980	-47.655327
1937.988281	-48.309341
1943.371582	-45.133007
1948.754883	-45.705307
1954.138184	-45.682503
1959.521484	-46.565880
1964.904785	-45.579433
1970.288086	-44.179203
1975.671387	-42.304676
1981.054688	-45.330917
1986.437988	-42.888340
1991.821289	-40.691608
1997.204590	-41.038700
2002.587891	-40.133530
2007.971191	-38.233540
2013.354492	-43.690922
2018.737793	-43.055519
2024.121094	-40.123859
2029.504395	-43.059967
2034.887695	-42.625523
2040.270996	-43.101654
2045.654297	-44.716572
2051.037598	-44.405682
